bin_left,bin_right,density
904.44873046875,2229.7948974609376,6.132796864822338e-06
2229.7948974609376,3555.141064453125,6.673598042902126e-05
3555.141064453125,4880.487231445313,6.926343610664498e-05
4880.487231445313,6205.8333984375,4.1219828624775606e-05
6205.8333984375,7531.1795654296875,3.397197778453102e-05
7531.1795654296875,8856.525732421876,2.741174356246345e-05
8856.525732421876,10181.871899414064,2.6761295410133845e-05
10181.871899414064,11507.21806640625,2.3323212319248595e-05
11507.21806640625,12832.564233398438,2.1018767436709292e-05
12832.564233398438,14157.910400390625,2.0089555790524088e-05
14157.910400390625,15483.256567382814,1.7562100112900313e-05
15483.256567382814,16808.602734375003,1.70417415910366e-05
16808.602734375003,18133.94890136719,1.6985988892265533e-05
18133.94890136719,19459.295068359377,1.4960307503581747e-05
19459.295068359377,20784.641235351562,1.4774465174344747e-05
20784.641235351562,22109.98740234375,1.3808085062312095e-05
22109.98740234375,23435.33356933594,1.2600109922271334e-05
23435.33356933594,24760.679736328126,1.2247009496720992e-05
24760.679736328126,26086.025903320315,1.2804536484432079e-05
26086.025903320315,27411.3720703125,1.196824600286543e-05
27411.3720703125,28736.71823730469,1.1169123987146124e-05
28736.71823730469,30062.064404296878,1.027708080680833e-05
30062.064404296878,31387.410571289063,1.0258496573884655e-05
31387.410571289063,32712.756738281252,8.79034217291201e-06
32712.756738281252,34038.10290527344,9.886811915410573e-06
34038.10290527344,35363.44907226563,9.923980381257955e-06
35363.44907226563,36688.795239257815,8.492994446132743e-06
36688.795239257815,38014.141406250004,8.93901603630164e-06
38014.141406250004,39339.48757324219,9.050521433843863e-06
39339.48757324219,40664.833740234375,8.697421008293537e-06
40664.833740234375,41990.179907226564,7.935467458421622e-06
41990.179907226564,43315.52607421875,8.15847825350607e-06
43315.52607421875,44640.87224121094,7.582367032871246e-06
44640.87224121094,45966.21840820313,7.545198567023838e-06
45966.21840820313,47291.56457519531,6.8018292500757136e-06
47291.56457519531,48616.9107421875,7.50803010117643e-06
48616.9107421875,49942.25690917969,6.876166181770492e-06
49942.25690917969,51267.60307617188,7.266435073168277e-06
51267.60307617188,52592.94924316407,6.355807659906779e-06
52592.94924316407,53918.29541015625,6.5602342220675595e-06
53918.29541015625,55243.64157714844,7.991220157192734e-06
55243.64157714844,56568.98774414063,6.8947504146941955e-06
56568.98774414063,57894.33391113282,7.00625581223642e-06
57894.33391113282,59219.680078125006,7.359356237786798e-06
59219.680078125006,60545.026245117195,7.60095126579495e-06
60545.026245117195,61870.37241210938,7.043424278083868e-06
61870.37241210938,63195.718579101565,7.192098141473461e-06
63195.718579101565,64521.064746093754,7.50803010117643e-06
64521.064746093754,65846.41091308594,6.950503113465308e-06
65846.41091308594,67171.75708007812,6.11421263189866e-06
67171.75708007812,68497.10324707032,6.746076551304527e-06
68497.10324707032,69822.4494140625,6.671739619609784e-06
69822.4494140625,71147.7955810547,5.519517178340067e-06
71147.7955810547,72473.14174804688,4.6832266967734425e-06
72473.14174804688,73798.48791503906,4.125699709062318e-06
73798.48791503906,75123.83408203126,2.9363088019452212e-06
75123.83408203126,76449.18024902344,1.7283336619044845e-06
76449.18024902344,77774.52641601564,1.2079751400407556e-06
77774.52641601564,79099.87258300782,3.716846584740827e-07
79099.87258300782,80425.21875,1.1150539754222482e-07
