bin_left,bin_right,density
904.44873046875,2229.7948974609376,6.187062824959554e-06
2229.7948974609376,3555.141064453125,6.688818529666638e-05
3555.141064453125,4880.487231445313,6.913288187035596e-05
4880.487231445313,6205.8333984375,4.117792117953265e-05
6205.8333984375,7531.1795654296875,3.395339355160732e-05
7531.1795654296875,8856.525732421876,2.7389070798296535e-05
8856.525732421876,10181.871899414064,2.66722769344293e-05
10181.871899414064,11507.21806640625,2.342784155060905e-05
11507.21806640625,12832.564233398438,2.1013378009161418e-05
12832.564233398438,14157.910400390625,2.0164543170371235e-05
14157.910400390625,15483.256567382814,1.7523723671912862e-05
15483.256567382814,16808.602734375003,1.7127600747144112e-05
16808.602734375003,18133.94890136719,1.6882381793715883e-05
18133.94890136719,19459.295068359377,1.4996082151959877e-05
19459.295068359377,20784.641235351562,1.4845178180619442e-05
20784.641235351562,22109.98740234375,1.388316536332386e-05
22109.98740234375,23435.33356933594,1.250616662484201e-05
23435.33356933594,24760.679736328126,1.2260947671413771e-05
24760.679736328126,26086.025903320315,1.2883426553193203e-05
26086.025903320315,27411.3720703125,1.1940276732315256e-05
27411.3720703125,28736.71823730469,1.116689387919528e-05
28736.71823730469,30062.064404296878,1.0374648029657776e-05
30062.064404296878,31387.410571289063,1.022374405831733e-05
31387.410571289063,32712.756738281252,8.752430337747652e-06
32712.756738281252,34038.10290527344,9.865347126383694e-06
34038.10290527344,35363.44907226563,9.978525104889026e-06
35363.44907226563,36688.795239257815,8.469485391484257e-06
36688.795239257815,38014.141406250004,8.88447131267057e-06
38014.141406250004,39339.48757324219,9.110827269681284e-06
39339.48757324219,40664.833740234375,8.79015633058282e-06
40664.833740234375,41990.179907226564,7.94132149179259e-06
41990.179907226564,43315.52607421875,8.224266438055983e-06
43315.52607421875,44640.87224121094,7.658376545529195e-06
44640.87224121094,45966.21840820313,7.5263355706062786e-06
45966.21840820313,47291.56457519531,6.8095417067390516e-06
47291.56457519531,48616.9107421875,7.5074725741887185e-06
48616.9107421875,49942.25690917969,6.884993692409252e-06
49942.25690917969,51267.60307617188,7.186801635090205e-06
51267.60307617188,52592.94924316407,6.337966796300024e-06
52592.94924316407,53918.29541015625,6.507733764058096e-06
53918.29541015625,55243.64157714844,8.073362466715505e-06
55243.64157714844,56568.98774414063,6.94158268166193e-06
56568.98774414063,57894.33391113282,6.9981716709146085e-06
57894.33391113282,59219.680078125006,7.2999796135955625e-06
59219.680078125006,60545.026245117195,7.582924559858957e-06
60545.026245117195,61870.37241210938,7.0170346673322076e-06
61870.37241210938,63195.718579101565,7.2056646315077645e-06
63195.718579101565,64521.064746093754,7.4131575921009205e-06
64521.064746093754,65846.41091308594,6.9227196852443715e-06
65846.41091308594,67171.75708007812,6.055021850036663e-06
67171.75708007812,68497.10324707032,6.771815713903858e-06
68497.10324707032,69822.4494140625,6.564322753310775e-06
69822.4494140625,71147.7955810547,5.470268961092252e-06
71147.7955810547,72473.14174804688,4.696886107972365e-06
72473.14174804688,73798.48791503906,4.1309962154455735e-06
73798.48791503906,75123.83408203126,2.9426274411392805e-06
75123.83408203126,76449.18024902344,1.678806681162813e-06
76449.18024902344,77774.52641601564,1.2072317707238073e-06
77774.52641601564,79099.87258300782,3.772599283511939e-07
79099.87258300782,80425.21875,1.131779785053582e-07
