bin_left,bin_right,density
1559.44873046875,2279.3146240234373,6.836356447196818e-08
2279.3146240234373,2999.180517578125,7.041447140612718e-07
2999.180517578125,3719.046411132813,4.867485790404132e-06
3719.046411132813,4438.9123046875,1.5997074086440554e-05
4438.9123046875,5158.7781982421875,3.257523847089284e-05
5158.7781982421875,5878.644091796876,4.838773093325902e-05
5878.644091796876,6598.509985351563,6.452836850509077e-05
6598.509985351563,7318.37587890625,8.63568546409902e-05
7318.37587890625,8038.241772460938,0.00010553283447537727
8038.241772460938,8758.107666015625,0.00012214518064206556
8758.107666015625,9477.973559570313,0.0001309777531718437
9477.973559570313,10197.839453125001,0.000129808736219373
10197.839453125001,10917.705346679688,0.00012319797953493403
10917.705346679688,11637.571240234376,0.00011124119210878648
11637.571240234376,12357.437133789062,9.600978994443225e-05
12357.437133789062,13077.30302734375,7.870013542012966e-05
13077.30302734375,13797.168920898439,6.260735234342838e-05
13797.168920898439,14517.034814453125,4.876373053785497e-05
14517.034814453125,15236.900708007814,3.4892763306492514e-05
15236.900708007814,15956.7666015625,2.503473730963478e-05
15956.7666015625,16676.63249511719,1.761729056442618e-05
16676.63249511719,17396.498388671876,1.2442168733898192e-05
17396.498388671876,18116.364282226565,8.921445163591836e-06
18116.364282226565,18836.230175781253,5.817739336564485e-06
18836.230175781253,19556.096069335938,4.163341076342878e-06
19556.096069335938,20275.961962890626,3.1310512528161384e-06
20275.961962890626,20995.827856445314,2.3380339049413086e-06
20995.827856445314,21715.693750000002,1.5108347748304948e-06
21715.693750000002,22435.55964355469,1.1758533089178511e-06
22435.55964355469,23155.425537109375,8.34035486558015e-07
23155.425537109375,23875.291430664063,6.562902189308937e-07
23875.291430664063,24595.15732421875,5.605812286701383e-07
24595.15732421875,25315.02321777344,5.263994464341543e-07
25315.02321777344,26034.889111328128,3.2814510946544686e-07
26034.889111328128,26754.755004882812,3.4865417880703907e-07
26754.755004882812,27474.6208984375,3.7599960459582455e-07
27474.6208984375,28194.48679199219,3.8967231749021816e-07
28194.48679199219,28914.352685546877,3.3498146591264366e-07
28914.352685546877,29634.218579101565,4.1018138683180857e-07
29634.218579101565,30354.08447265625,4.1018138683181064e-07
30354.08447265625,31073.95036621094,2.939633272294628e-07
31073.95036621094,31793.816259765626,4.5119952551498946e-07
31793.816259765626,32513.682153320315,2.5294518854628195e-07
32513.682153320315,33233.548046875,4.170177432790054e-07
33233.548046875,33953.41394042969,3.7599960459582645e-07
33953.41394042969,34673.27983398438,3.6916324814862584e-07
34673.27983398438,35393.145727539064,3.6232689170143274e-07
35393.145727539064,36113.011621093756,3.007996836766581e-07
36113.011621093756,36832.87751464844,3.3498146591264536e-07
36832.87751464844,37552.743408203125,2.939633272294643e-07
37552.743408203125,38272.60930175782,2.1876340631029678e-07
38272.60930175782,38992.4751953125,2.18763406310299e-07
38992.4751953125,39712.34108886719,1.7774526762711617e-07
39712.34108886719,40432.20698242188,8.887263381355897e-08
40432.20698242188,41152.07287597656,1.367271289439369e-07
41152.07287597656,41871.938769531254,6.836356447196775e-08
41871.938769531254,42591.80466308594,6.15272080247716e-08
42591.80466308594,43311.67055664063,1.3672712894393549e-08
43311.67055664063,44031.536450195315,1.3672712894393688e-08
44031.536450195315,44751.40234375,6.836356447196844e-09
