bin_left,bin_right,density
1559.44873046875,2279.3146240234373,6.84309177374578e-08
2279.3146240234373,2999.180517578125,7.04838452695815e-07
2999.180517578125,3719.046411132813,4.865438251133247e-06
3719.046411132813,4438.9123046875,1.5992305475243888e-05
4438.9123046875,5158.7781982421875,3.257995993480366e-05
5158.7781982421875,5878.644091796876,4.840118811570385e-05
5878.644091796876,6598.509985351563,6.457141397706518e-05
6598.509985351563,7318.37587890625,8.641456291886171e-05
7318.37587890625,8038.241772460938,0.00010559574916067114
8038.241772460938,8758.107666015625,0.00012219024671200466
8758.107666015625,9477.973559570313,0.0001310109920083628
9477.973559570313,10197.839453125001,0.00012977923548908858
10197.839453125001,10917.705346679688,0.00012321671047806667
10917.705346679688,11637.571240234376,0.00011123445678223752
11637.571240234376,12357.437133789062,9.602226376920092e-05
12357.437133789062,13077.30302734375,7.868871230630262e-05
13077.30302734375,13797.168920898439,6.258691736267884e-05
13797.168920898439,14517.034814453125,4.870912724552253e-05
14517.034814453125,15236.900708007814,3.487239567900845e-05
15236.900708007814,15956.7666015625,2.501150043304086e-05
15956.7666015625,16676.63249511719,1.757990276675289e-05
16676.63249511719,17396.498388671876,1.2420211569348574e-05
17396.498388671876,18116.364282226565,8.896019305869504e-06
18116.364282226565,18836.230175781253,5.816628007683906e-06
18836.230175781253,19556.096069335938,4.167442890211196e-06
19556.096069335938,20275.961962890626,3.120449848828072e-06
20275.961962890626,20995.827856445314,2.3334942948473083e-06
20995.827856445314,21715.693750000002,1.5123232819978156e-06
21715.693750000002,22435.55964355469,1.170168693310527e-06
22435.55964355469,23155.425537109375,8.348571963969885e-07
23155.425537109375,23875.291430664063,6.569368102795941e-07
23875.291430664063,24595.15732421875,5.611335254471533e-07
24595.15732421875,25315.02321777344,5.269180665784244e-07
25315.02321777344,26034.889111328128,3.2846840513979703e-07
26034.889111328128,26754.755004882812,3.4899768046103613e-07
26754.755004882812,27474.6208984375,3.7637004755601745e-07
27474.6208984375,28194.48679199219,3.90056231103509e-07
28194.48679199219,28914.352685546877,3.3531149691354285e-07
28914.352685546877,29634.218579101565,4.1058550642474634e-07
29634.218579101565,30354.08447265625,4.105855064247484e-07
30354.08447265625,31073.95036621094,2.942529462710682e-07
31073.95036621094,31793.816259765626,4.51644057067221e-07
31793.816259765626,32513.682153320315,2.5319439562859354e-07
32513.682153320315,33233.548046875,4.174285981984921e-07
33233.548046875,33953.41394042969,3.7637004755601936e-07
33953.41394042969,34673.27983398438,3.695269557822698e-07
34673.27983398438,35393.145727539064,3.6268386400852777e-07
35393.145727539064,36113.011621093756,3.010960380448125e-07
36113.011621093756,36832.87751464844,3.3531149691354455e-07
36832.87751464844,37552.743408203125,2.805667627235781e-07
37552.743408203125,38272.60930175782,2.1213584498611785e-07
38272.60930175782,38992.4751953125,2.1897893675986582e-07
38992.4751953125,39712.34108886719,1.7107729434364344e-07
39712.34108886719,40432.20698242188,8.896019305869547e-08
40432.20698242188,41152.07287597656,1.3686183547491614e-07
41152.07287597656,41871.938769531254,6.843091773745738e-08
41871.938769531254,42591.80466308594,6.158782596371226e-08
42591.80466308594,43311.67055664063,1.3686183547491475e-08
43311.67055664063,44031.536450195315,1.3686183547491614e-08
44031.536450195315,44751.40234375,6.843091773745807e-09
